id,name,latitude,longitude,capacity,cash_type,location_type,min_threshold,max_capacity,assigned_carrier_id
ATM042,Cajero Centro Comercial Este,4.586557,-74.078387,128734171,MULTIPROPÓSITO,BANK,19310125,154481005,TDV002
ATM043,Cajero Banco Este,4.672571,-74.006101,75464309,DISPENSADOR,BANK,11319646,90557170,TDV002
ATM044,Cajero Estación Transmilenio Este,4.598031,-74.005896,130477197,MULTIPROPÓSITO,BANK,19571579,156572636,TDV003
ATM045,Cajero Universidad Norte,4.623236,-74.01663,53874607,DISPENSADOR,TRANSPORT,8081191,64649528,TDV002
ATM046,Cajero Hospital Este,4.570456,-74.12859,117874619,DISPENSADOR,HOSPITAL,17681192,141449542,TDV004
ATM047,Cajero Banco Oeste,4.531688,-74.172705,88473981,DISPENSADOR,MALL,13271097,106168777,TDV001
ATM048,Cajero Hospital Norte,4.630007,-74.14358,58040422,DISPENSADOR,TRANSPORT,8706063,69648506,TDV002
ATM049,Cajero Hospital Este,4.761743,-74.048547,68737410,DISPENSADOR,BANK,10310611,82484892,TDV002
ATM050,Cajero Edificio Corporativo Centro,4.65944,-74.042782,111937661,DISPENSADOR,BANK,16790649,134325193,TDV005
ATM051,Cajero Universidad Este,4.586631,-74.187062,117585792,MULTIPROPÓSITO,MALL,17637868,141102950,TDV001
ATM052,Cajero Banco Oeste,4.652892,-74.151788,100584432,MULTIPROPÓSITO,MALL,15087664,120701318,TDV001
ATM053,Cajero Banco Sur,4.710177,-74.127488,69723901,DISPENSADOR,UNIVERSITY,10458585,83668681,TDV003
ATM054,Cajero Estación Transmilenio Norte,4.773754,-74.167466,128866639,MULTIPROPÓSITO,OFFICE,19329995,154639966,TDV005
ATM055,Cajero Universidad Este,4.622012,-74.187143,96861840,DISPENSADOR,MALL,14529276,116234208,TDV001
ATM056,Cajero Universidad Norte,4.675797,-74.184495,122068618,DISPENSADOR,OFFICE,18310292,146482341,TDV004
ATM057,Cajero Edificio Corporativo Oeste,4.567769,-74.198005,66760282,DISPENSADOR,BANK,10014042,80112338,TDV004
ATM058,Cajero Centro Comercial Sur,4.66282,-74.041465,126096322,MULTIPROPÓSITO,MALL,18914448,151315586,TDV005
ATM059,Cajero Centro Comercial Centro,4.760835,-74.118207,134252033,MULTIPROPÓSITO,BANK,20137804,161102439,TDV004
ATM060,Cajero Estación Transmilenio Centro,4.754519,-74.025647,55349136,DISPENSADOR,BANK,8302370,66418963,TDV004
ATM061,Cajero Hospital Centro,4.583202,-74.064104,79235252,MULTIPROPÓSITO,HOSPITAL,11885287,95082302,TDV002
ATM062,Cajero Estación Transmilenio Centro,4.73032,-74.013799,67942595,DISPENSADOR,TRANSPORT,10191389,81531114,TDV003
ATM063,Cajero Universidad Sur,4.770259,-74.03449,121203482,DISPENSADOR,UNIVERSITY,18180522,145444178,TDV003
ATM064,Cajero Estación Transmilenio Este,4.752438,-74.000634,51389198,DISPENSADOR,TRANSPORT,7708379,61667037,TDV005
ATM065,Cajero Centro Comercial Oeste,4.557072,-74.003236,139843439,MULTIPROPÓSITO,OFFICE,20976515,167812126,TDV002
ATM066,Cajero Hospital Este,4.678322,-74.104747,145454363,DISPENSADOR,MALL,21818154,174545235,TDV005
ATM067,Cajero Edificio Corporativo Centro,4.584913,-74.151566,60083505,MULTIPROPÓSITO,UNIVERSITY,9012525,72100206,TDV004
ATM068,Cajero Universidad Este,4.614052,-74.115663,56616468,DISPENSADOR,TRANSPORT,8492470,67939761,TDV001
ATM069,Cajero Hospital Oeste,4.53825,-74.15859,121420780,MULTIPROPÓSITO,MALL,18213117,145704936,TDV005
ATM070,Cajero Banco Norte,4.720858,-74.045639,117839263,MULTIPROPÓSITO,HOSPITAL,17675889,141407115,TDV001
ATM071,Cajero Banco Sur,4.525403,-74.049375,61389985,MULTIPROPÓSITO,TRANSPORT,9208497,73667982,TDV003
ATM072,Cajero Centro Comercial Norte,4.792845,-74.151041,120361079,MULTIPROPÓSITO,TRANSPORT,18054161,144433294,TDV003
ATM073,Cajero Universidad Norte,4.604523,-74.124425,78381681,DISPENSADOR,TRANSPORT,11757252,94058017,TDV004
ATM074,Cajero Hospital Este,4.776166,-74.193406,73642807,DISPENSADOR,BANK,11046421,88371368,TDV004
ATM075,Cajero Banco Centro,4.619186,-74.092506,102807683,DISPENSADOR,TRANSPORT,15421152,123369219,TDV004
ATM076,Cajero Centro Comercial Norte,4.713283,-74.035768,95392860,DISPENSADOR,TRANSPORT,14308929,114471432,TDV003
ATM077,Cajero Edificio Corporativo Este,4.657488,-74.005201,145156770,MULTIPROPÓSITO,TRANSPORT,21773515,174188124,TDV004
ATM078,Cajero Centro Comercial Centro,4.588638,-74.008539,80007954,DISPENSADOR,MALL,12001193,96009544,TDV003
ATM079,Cajero Hospital Centro,4.689997,-74.094332,123625928,DISPENSADOR,OFFICE,18543889,148351113,TDV001
ATM080,Cajero Hospital Oeste,4.791738,-74.189276,136771614,MULTIPROPÓSITO,HOSPITAL,20515742,164125936,TDV001
ATM081,Cajero Centro Comercial Este,4.69457,-74.10297,146480640,MULTIPROPÓSITO,BANK,21972096,175776768,TDV001
ATM082,Cajero Edificio Corporativo Sur,4.581771,-74.149051,68787981,DISPENSADOR,MALL,10318197,82545577,TDV002
ATM083,Cajero Edificio Corporativo Norte,4.706219,-74.124586,134673544,DISPENSADOR,HOSPITAL,20201031,161608252,TDV001
ATM084,Cajero Centro Comercial Norte,4.688599,-74.145556,71142633,DISPENSADOR,UNIVERSITY,10671394,85371159,TDV001
ATM085,Cajero Estación Transmilenio Oeste,4.773335,-74.057509,131754744,MULTIPROPÓSITO,MALL,19763211,158105692,TDV001
ATM086,Cajero Centro Comercial Oeste,4.731897,-74.073185,144310184,DISPENSADOR,OFFICE,21646527,173172220,TDV005
ATM087,Cajero Universidad Sur,4.652054,-74.012403,51876666,DISPENSADOR,BANK,7781499,62251999,TDV002
ATM088,Cajero Estación Transmilenio Norte,4.53428,-74.032659,61616681,MULTIPROPÓSITO,HOSPITAL,9242502,73940017,TDV002
ATM089,Cajero Banco Oeste,4.691462,-74.168578,143221454,MULTIPROPÓSITO,OFFICE,21483218,171865744,TDV002
ATM090,Cajero Estación Transmilenio Oeste,4.701404,-74.02187,99074744,MULTIPROPÓSITO,TRANSPORT,14861211,118889692,TDV004
ATM091,Cajero Estación Transmilenio Este,4.559162,-74.016239,61245769,DISPENSADOR,MALL,9186865,73494922,TDV001
ATM092,Cajero Hospital Oeste,4.588124,-74.002094,76849523,DISPENSADOR,HOSPITAL,11527428,92219427,TDV005
ATM093,Cajero Edificio Corporativo Sur,4.524719,-74.06667,137547803,MULTIPROPÓSITO,HOSPITAL,20632170,165057363,TDV002
ATM094,Cajero Edificio Corporativo Centro,4.54838,-74.141447,81525836,MULTIPROPÓSITO,UNIVERSITY,12228875,97831003,TDV004
ATM095,Cajero Banco Este,4.561405,-74.090572,66814175,DISPENSADOR,BANK,10022126,80177010,TDV003
ATM096,Cajero Edificio Corporativo Este,4.555963,-74.082209,128684982,MULTIPROPÓSITO,TRANSPORT,19302747,154421978,TDV005
ATM097,Cajero Centro Comercial Norte,4.59952,-74.17606,92227868,MULTIPROPÓSITO,TRANSPORT,13834180,110673441,TDV003
ATM098,Cajero Banco Norte,4.563505,-74.112496,122858988,MULTIPROPÓSITO,TRANSPORT,18428848,147430785,TDV001
ATM099,Cajero Universidad Sur,4.545121,-74.037589,86664361,MULTIPROPÓSITO,TRANSPORT,12999654,103997233,TDV002
ATM100,Cajero Banco Centro,4.645749,-74.059828,65598803,MULTIPROPÓSITO,TRANSPORT,9839820,78718563,TDV005
