atm_id,transaction_date,transaction_time,amount,transaction_type,day_of_week
ATM048,2023-09-04,10:37:37,1330899,DEPÓSITO,1
ATM086,2024-02-10,12:09:55,534081,DEPÓSITO,6
ATM038,2023-09-09,01:53:45,808445,RETIRO,6
ATM048,2023-11-01,17:41:26,1938798,DEPÓSITO,3
ATM037,2024-02-25,15:37:30,2624414,DEPÓSITO,7
ATM095,2023-10-07,21:10:05,610712,RETIRO,6
ATM011,2024-01-09,07:40:44,2862382,RETIRO,2
ATM064,2023-12-06,22:00:23,2050272,DEPÓSITO,3
ATM049,2024-01-24,14:03:50,2300107,RETIRO,3
ATM040,2024-01-22,14:12:17,2455239,RETIRO,1
ATM055,2024-01-31,10:44:59,2241793,DEPÓSITO,3
ATM037,2024-02-11,03:40:22,3442237,DEPÓSITO,7
ATM042,2023-10-24,07:58:13,2600233,DEPÓSITO,2
ATM047,2024-01-20,13:37:00,1440411,DEPÓSITO,6
ATM031,2023-12-30,02:07:41,786568,RETIRO,6
ATM039,2023-11-10,11:20:49,3781727,DEPÓSITO,5
ATM085,2023-10-17,22:45:55,1825243,DEPÓSITO,2
ATM010,2023-10-05,16:04:00,4065187,DEPÓSITO,4
ATM092,2023-12-30,03:37:39,1662886,RETIRO,6
ATM009,2023-11-05,02:24:56,4304645,DEPÓSITO,7
ATM002,2024-01-23,16:20:38,835455,RETIRO,2
ATM100,2023-12-05,11:58:47,1037562,RETIRO,2
ATM092,2024-02-02,19:44:03,1408976,RETIRO,5
ATM075,2023-12-11,02:04:36,4711190,DEPÓSITO,1
ATM068,2023-11-15,12:24:46,2802000,RETIRO,3
ATM004,2023-10-02,16:33:39,4204534,DEPÓSITO,1
ATM091,2023-11-23,16:01:48,2359268,DEPÓSITO,4
ATM018,2023-09-28,11:43:10,1151252,RETIRO,4
ATM094,2023-09-30,22:05:10,1577331,RETIRO,6
ATM001,2023-11-17,07:43:39,4914545,DEPÓSITO,5
ATM054,2023-09-05,03:22:34,468662,DEPÓSITO,2
ATM078,2023-10-18,23:48:18,1499844,RETIRO,3
ATM069,2023-09-26,06:17:36,2326345,RETIRO,2
ATM067,2024-01-18,07:41:42,3214802,DEPÓSITO,4
ATM006,2024-01-22,23:30:08,821897,RETIRO,1
ATM040,2023-11-13,10:10:55,1548188,RETIRO,1
ATM085,2023-11-27,10:25:42,608008,RETIRO,1
ATM088,2023-12-30,22:33:05,1545514,RETIRO,6
ATM002,2023-12-03,14:10:43,1340061,RETIRO,7
ATM059,2023-12-12,22:17:17,1986714,RETIRO,2
ATM001,2023-09-01,04:09:33,1458573,DEPÓSITO,5
ATM099,2024-02-26,06:47:34,3503492,DEPÓSITO,1
ATM075,2023-12-30,20:19:10,1044883,DEPÓSITO,6
ATM054,2023-11-06,16:06:38,1181446,RETIRO,1
ATM003,2023-11-11,01:07:39,1532514,RETIRO,6
ATM068,2024-02-14,18:11:17,718092,DEPÓSITO,3
ATM071,2023-11-19,23:19:17,4531609,DEPÓSITO,7
ATM090,2024-01-07,20:49:24,411988,RETIRO,7
ATM019,2023-10-07,22:37:34,2905711,RETIRO,6
ATM070,2024-01-01,14:59:00,329263,RETIRO,1
ATM004,2024-02-04,18:05:39,1418533,RETIRO,7
ATM044,2024-01-04,13:48:43,1898080,RETIRO,4
ATM008,2023-09-07,05:45:44,1336746,RETIRO,4
ATM016,2023-12-13,12:56:41,1383216,RETIRO,3
ATM038,2023-11-25,04:52:31,1849908,RETIRO,6
ATM044,2023-12-03,14:02:21,864891,RETIRO,7
ATM005,2023-11-30,13:27:46,641434,RETIRO,4
ATM054,2023-12-03,23:02:45,1420716,DEPÓSITO,7
ATM070,2024-02-13,13:02:44,337826,RETIRO,2
ATM025,2023-10-08,03:04:44,4503591,DEPÓSITO,7
ATM081,2023-11-06,15:24:57,2296052,RETIRO,1
ATM011,2023-12-24,23:43:40,1652411,DEPÓSITO,7
ATM070,2023-12-08,19:37:46,4235780,DEPÓSITO,5
ATM096,2023-10-06,00:50:14,668575,RETIRO,5
ATM082,2023-10-15,21:58:12,2932835,DEPÓSITO,7
ATM013,2023-11-22,23:37:59,4776291,DEPÓSITO,3
ATM063,2023-09-11,15:35:21,1194001,DEPÓSITO,1
ATM038,2023-11-03,02:13:35,4699590,DEPÓSITO,5
ATM067,2024-02-23,08:13:20,4456657,DEPÓSITO,5
ATM041,2023-11-16,02:07:08,128325,RETIRO,4
ATM057,2023-09-23,18:04:08,985992,RETIRO,6
ATM050,2023-12-31,05:14:35,3149823,DEPÓSITO,7
ATM019,2023-11-10,05:26:12,1692790,DEPÓSITO,5
ATM080,2023-11-03,05:25:36,2010898,RETIRO,5
ATM059,2023-10-14,00:45:57,278567,RETIRO,6
ATM064,2023-09-17,17:21:03,755250,RETIRO,7
ATM095,2024-01-28,19:48:04,4854697,DEPÓSITO,7
ATM063,2023-09-29,17:32:03,2750980,RETIRO,5
ATM081,2024-02-15,14:34:26,326979,RETIRO,4
ATM071,2023-09-28,03:18:27,866785,DEPÓSITO,4
ATM017,2024-01-03,18:55:31,4971396,DEPÓSITO,3
ATM025,2023-11-14,17:36:41,1980851,RETIRO,2
ATM054,2023-12-29,17:47:59,1052843,RETIRO,5
ATM064,2023-09-29,11:05:27,1608501,RETIRO,5
ATM043,2023-12-21,10:19:36,3224860,DEPÓSITO,4
ATM089,2024-01-20,09:19:16,4130354,DEPÓSITO,6
ATM038,2024-02-06,22:53:56,519288,DEPÓSITO,2
ATM090,2023-10-20,13:53:28,256409,DEPÓSITO,5
ATM030,2023-11-09,10:41:54,1933496,RETIRO,4
ATM025,2024-01-07,18:44:45,489471,DEPÓSITO,7
ATM012,2023-12-08,10:16:02,712881,RETIRO,5
ATM093,2024-02-24,10:51:40,3791343,DEPÓSITO,6
ATM025,2023-11-20,04:37:09,1604443,RETIRO,1
ATM009,2023-10-12,15:13:44,1353196,RETIRO,4
ATM057,2023-10-25,00:22:33,2142063,RETIRO,3
ATM096,2024-01-13,21:01:52,3432957,DEPÓSITO,6
ATM063,2024-01-07,01:32:39,3993470,DEPÓSITO,7
ATM006,2024-02-07,02:22:03,4683550,DEPÓSITO,3
ATM046,2023-09-04,06:48:57,656551,RETIRO,1
ATM063,2023-09-02,02:46:45,2626879,RETIRO,6
ATM028,2024-02-01,14:52:20,1773824,DEPÓSITO,4
ATM084,2024-01-26,21:29:05,1195041,RETIRO,5
ATM089,2023-09-22,19:53:16,3993043,DEPÓSITO,5
ATM028,2024-01-27,15:24:09,242218,RETIRO,6
ATM004,2023-12-24,16:18:13,1375699,RETIRO,7
ATM096,2023-09-13,20:01:07,2687550,DEPÓSITO,3
ATM074,2023-09-15,06:51:12,1335105,DEPÓSITO,5
ATM093,2023-12-10,12:11:02,1366575,DEPÓSITO,7
ATM062,2024-01-28,10:49:20,4718867,DEPÓSITO,7
ATM085,2023-11-12,03:25:56,1403922,RETIRO,7
ATM060,2023-11-08,07:03:45,1172685,DEPÓSITO,3
ATM080,2024-02-26,21:44:41,1582000,RETIRO,1
ATM093,2023-11-28,20:21:47,2177378,RETIRO,2
ATM072,2023-10-24,17:30:22,4818955,DEPÓSITO,2
ATM017,2023-12-02,10:40:26,769854,RETIRO,6
ATM043,2024-01-07,22:12:17,2495016,RETIRO,7
ATM065,2023-11-30,10:33:17,2650147,RETIRO,4
ATM002,2024-01-09,12:07:40,736858,RETIRO,2
ATM047,2023-11-03,03:26:34,4286511,DEPÓSITO,5
ATM023,2024-01-24,18:01:01,499914,DEPÓSITO,3
ATM034,2023-12-19,11:06:04,2184117,RETIRO,2
ATM080,2023-09-18,00:13:07,1323138,DEPÓSITO,1
ATM038,2023-12-02,18:01:24,66330,RETIRO,6
ATM086,2024-02-07,19:49:24,302297,DEPÓSITO,3
ATM059,2023-09-17,13:32:56,252077,DEPÓSITO,7
ATM061,2023-10-11,04:06:21,3237323,DEPÓSITO,3
ATM065,2023-10-03,02:56:54,1203668,DEPÓSITO,2
ATM070,2023-11-23,22:47:21,1461102,DEPÓSITO,4
ATM008,2024-02-09,11:04:07,1777397,RETIRO,5
ATM090,2024-01-20,20:48:26,3049186,DEPÓSITO,6
ATM005,2023-10-29,21:42:20,394965,DEPÓSITO,7
ATM063,2023-12-26,09:17:45,2924383,RETIRO,2
ATM011,2023-09-29,20:32:01,4310448,DEPÓSITO,5
ATM022,2023-11-04,21:22:56,1452750,DEPÓSITO,6
ATM046,2023-11-28,18:38:52,277129,RETIRO,2
ATM017,2023-11-20,08:58:23,3821139,DEPÓSITO,1
ATM081,2024-02-10,16:15:39,1724733,RETIRO,6
ATM032,2023-10-20,22:18:32,1951429,DEPÓSITO,5
ATM056,2023-12-20,16:23:48,681881,RETIRO,3
ATM098,2023-12-12,15:43:42,3824635,DEPÓSITO,2
ATM096,2023-11-19,15:43:56,4215431,DEPÓSITO,7
ATM009,2023-12-26,18:44:32,2963540,RETIRO,2
ATM006,2023-09-26,01:47:55,4141048,DEPÓSITO,2
ATM100,2023-11-26,04:49:55,1996968,DEPÓSITO,7
ATM006,2023-10-25,11:20:36,72778,RETIRO,3
ATM069,2023-12-04,15:19:44,1803451,RETIRO,1
ATM021,2023-09-07,04:49:09,1559387,DEPÓSITO,4
ATM024,2024-01-26,15:09:05,1791343,RETIRO,5
ATM067,2024-02-17,05:53:06,603525,DEPÓSITO,6
ATM057,2024-02-08,12:00:09,2427570,DEPÓSITO,4
ATM057,2023-10-06,14:52:25,2574607,RETIRO,5
ATM011,2023-09-20,19:06:53,2198648,DEPÓSITO,3
ATM070,2023-10-30,07:41:50,225364,DEPÓSITO,1
ATM061,2023-09-06,23:04:27,2564614,RETIRO,3
ATM054,2023-12-17,16:24:01,2899243,DEPÓSITO,7
ATM078,2023-12-29,12:53:21,2010487,DEPÓSITO,5
ATM002,2023-11-23,11:38:56,962042,RETIRO,4
ATM060,2023-10-01,05:28:10,302073,RETIRO,7
ATM013,2023-11-25,03:47:01,1990230,RETIRO,6
ATM011,2023-11-18,08:28:58,2988374,DEPÓSITO,6
ATM095,2023-09-30,19:01:30,2159110,DEPÓSITO,6
ATM050,2023-10-16,03:52:41,402751,RETIRO,1
ATM083,2023-12-31,10:37:01,1329369,DEPÓSITO,7
ATM063,2023-09-28,05:47:53,954333,RETIRO,4
ATM069,2024-02-02,01:42:04,1447102,RETIRO,5
ATM077,2023-09-17,23:24:00,3608639,DEPÓSITO,7
ATM052,2023-10-07,22:22:31,1371526,RETIRO,6
ATM017,2023-10-13,06:04:28,1375218,RETIRO,5
ATM023,2023-11-01,06:51:20,684934,DEPÓSITO,3
ATM078,2023-12-26,19:32:24,1339802,RETIRO,2
ATM027,2023-09-02,19:04:09,161053,RETIRO,6
ATM024,2024-02-23,06:12:29,2103617,DEPÓSITO,5
ATM010,2023-11-21,11:46:24,3687001,DEPÓSITO,2
ATM054,2023-10-07,21:56:49,3760654,DEPÓSITO,6
ATM066,2024-01-23,08:31:16,408220,RETIRO,2
ATM092,2023-11-26,18:52:27,4511589,DEPÓSITO,7
ATM098,2023-10-11,03:05:34,2817737,DEPÓSITO,3
ATM023,2023-12-02,04:44:12,2762163,RETIRO,6
ATM027,2023-09-23,06:51:39,2716494,RETIRO,6
ATM027,2024-02-03,12:08:43,206894,RETIRO,6
ATM028,2023-12-07,06:57:19,564281,RETIRO,4
ATM051,2023-09-13,09:12:25,4126558,DEPÓSITO,3
ATM074,2024-02-16,02:14:22,1490237,RETIRO,5
ATM063,2023-10-06,00:13:17,2928133,DEPÓSITO,5
ATM048,2023-10-14,17:16:31,3499160,DEPÓSITO,6
ATM009,2023-11-01,17:45:23,1213090,RETIRO,3
ATM078,2023-10-24,14:06:26,1686109,RETIRO,2
ATM004,2023-09-17,01:20:22,1943646,RETIRO,7
ATM090,2024-02-26,17:36:05,1768607,RETIRO,1
ATM055,2024-01-29,02:04:32,1165043,RETIRO,1
ATM038,2024-02-08,15:43:22,1798986,RETIRO,4
ATM075,2023-12-26,20:22:53,1254159,RETIRO,2
ATM039,2024-02-05,23:18:25,903728,DEPÓSITO,1
ATM093,2023-11-20,05:42:56,3280850,DEPÓSITO,1
ATM078,2023-12-21,20:25:50,2648062,DEPÓSITO,4
ATM044,2023-12-28,20:48:15,3398853,DEPÓSITO,4
ATM083,2023-10-23,22:00:17,2444871,RETIRO,1
ATM093,2024-03-01,02:02:28,1676414,DEPÓSITO,5
ATM087,2023-09-16,09:45:29,2947997,RETIRO,6
ATM074,2024-02-08,14:16:04,4236484,DEPÓSITO,4
ATM037,2023-12-26,02:32:18,1132199,RETIRO,2
ATM092,2024-01-21,20:20:45,1689177,DEPÓSITO,7
ATM022,2024-01-06,19:00:42,592271,DEPÓSITO,6
ATM080,2024-02-16,07:21:18,3272756,DEPÓSITO,5
ATM049,2024-02-12,18:19:46,580779,RETIRO,1
ATM001,2023-09-17,13:10:37,4286606,DEPÓSITO,7
ATM100,2023-10-02,15:54:42,4315318,DEPÓSITO,1
ATM038,2023-09-22,18:54:55,3738126,DEPÓSITO,5
ATM098,2023-09-12,19:20:36,2425514,RETIRO,2
ATM095,2023-10-30,11:54:56,3315734,DEPÓSITO,1
ATM009,2024-01-02,14:35:48,755221,RETIRO,2
ATM095,2023-10-31,09:25:49,528766,RETIRO,2
ATM020,2023-09-09,16:58:22,2885122,RETIRO,6
ATM083,2023-11-26,08:03:56,906460,DEPÓSITO,7
ATM051,2023-11-17,03:18:10,2073118,RETIRO,5
ATM098,2023-12-17,12:35:04,2331254,RETIRO,7
ATM049,2023-10-09,15:09:58,2424731,RETIRO,1
ATM072,2023-11-26,10:46:59,3855152,DEPÓSITO,7
ATM058,2023-10-17,17:00:12,2257345,DEPÓSITO,2
ATM098,2024-01-01,21:44:45,504564,DEPÓSITO,1
ATM005,2023-12-30,05:31:47,3697937,DEPÓSITO,6
ATM057,2023-10-03,20:13:12,1370340,RETIRO,2
ATM090,2024-01-29,13:12:44,2058876,RETIRO,1
ATM041,2023-09-04,02:14:20,2672454,DEPÓSITO,1
ATM078,2023-10-25,21:05:26,1181512,RETIRO,3
ATM013,2023-11-29,05:30:46,1542167,RETIRO,3
ATM024,2023-10-03,23:39:15,1457222,RETIRO,2
ATM072,2024-02-05,22:27:34,358599,RETIRO,1
ATM077,2024-01-16,21:49:38,1974566,DEPÓSITO,2
ATM029,2023-10-13,05:20:49,2872431,RETIRO,5
ATM037,2023-12-29,18:49:55,2967826,DEPÓSITO,5
ATM016,2023-11-27,21:29:53,1450897,RETIRO,1
ATM080,2023-12-03,15:04:22,555390,RETIRO,7
ATM021,2024-02-20,22:14:43,1265281,RETIRO,2
ATM047,2023-10-25,10:40:52,2785981,RETIRO,3
ATM069,2023-10-02,18:04:07,2205023,RETIRO,1
ATM043,2023-10-14,09:32:35,1032956,DEPÓSITO,6
ATM067,2023-12-08,12:54:02,2035969,RETIRO,5
ATM026,2023-10-24,16:10:16,3485101,DEPÓSITO,2
ATM083,2024-02-10,01:54:23,70235,RETIRO,6
ATM082,2024-01-22,05:03:29,3992438,DEPÓSITO,1
ATM001,2023-10-30,18:34:10,2856313,RETIRO,1
ATM071,2024-02-22,23:11:22,4742180,DEPÓSITO,4
ATM093,2024-02-10,13:55:42,1961421,RETIRO,6
ATM068,2023-09-29,15:15:55,571833,DEPÓSITO,5
ATM049,2023-12-23,23:22:32,1412484,RETIRO,6
ATM090,2023-09-26,17:55:34,3050975,DEPÓSITO,2
ATM049,2023-10-07,06:59:52,1788458,RETIRO,6
ATM058,2023-10-28,12:24:00,1309660,DEPÓSITO,6
ATM043,2023-12-24,15:40:54,2957326,RETIRO,7
ATM027,2024-01-17,02:01:35,2495300,RETIRO,3
ATM070,2023-11-21,19:09:15,657164,DEPÓSITO,2
ATM076,2024-02-23,12:03:53,2598753,RETIRO,5
ATM083,2023-10-14,00:01:18,2156167,RETIRO,6
ATM018,2023-12-15,06:35:07,2855842,DEPÓSITO,5
ATM033,2023-11-26,14:10:34,844214,RETIRO,7
ATM060,2023-12-20,04:26:35,61761,RETIRO,3
ATM099,2023-12-02,00:41:43,2849175,DEPÓSITO,6
ATM060,2023-09-20,17:18:55,2285967,RETIRO,3
ATM013,2023-12-14,17:54:53,4916643,DEPÓSITO,4
ATM071,2023-11-13,06:17:52,1785324,DEPÓSITO,1
ATM026,2023-12-06,22:51:53,4460284,DEPÓSITO,3
ATM058,2023-11-16,05:36:49,828564,DEPÓSITO,4
ATM046,2023-10-31,06:34:04,2154739,RETIRO,2
ATM045,2023-11-10,06:38:53,78666,RETIRO,5
ATM046,2024-01-26,08:45:51,395903,RETIRO,5
ATM035,2023-09-09,01:37:31,4131524,DEPÓSITO,6
ATM054,2023-12-26,14:30:51,842060,RETIRO,2
ATM088,2024-02-22,20:34:46,171557,RETIRO,4
ATM026,2023-11-23,09:11:28,2642557,DEPÓSITO,4
ATM041,2024-01-21,19:43:29,2544275,DEPÓSITO,7
ATM040,2024-01-25,14:52:07,2322930,DEPÓSITO,4
ATM094,2024-01-17,23:40:20,2244456,RETIRO,3
ATM019,2023-10-18,13:08:05,2163443,RETIRO,3
ATM041,2024-02-19,10:44:14,405155,DEPÓSITO,1
ATM100,2023-09-29,01:21:06,3123165,DEPÓSITO,5
ATM068,2023-12-08,00:56:11,4091745,DEPÓSITO,5
ATM079,2023-12-07,11:19:03,548933,DEPÓSITO,4
ATM029,2024-01-20,16:43:52,732691,RETIRO,6
ATM047,2023-12-04,23:28:29,327064,RETIRO,1
ATM008,2023-11-10,11:33:25,2133619,DEPÓSITO,5
ATM036,2023-09-12,22:07:05,1405674,RETIRO,2
ATM074,2023-12-01,04:24:52,2395852,DEPÓSITO,5
ATM088,2023-09-27,23:20:14,1895936,RETIRO,3
ATM052,2024-01-14,10:17:57,1441451,RETIRO,7
ATM080,2023-09-11,03:54:16,1148728,RETIRO,1
ATM055,2024-02-05,15:57:04,4674970,DEPÓSITO,1
ATM025,2023-10-09,13:15:56,2260725,RETIRO,1
ATM068,2023-10-11,13:27:38,2475452,RETIRO,3
ATM063,2023-10-29,13:04:01,835629,RETIRO,7
ATM054,2023-11-06,10:33:36,3865081,DEPÓSITO,1
ATM095,2024-02-16,18:18:11,1449172,DEPÓSITO,5
ATM060,2023-09-12,18:15:21,3545234,DEPÓSITO,2
ATM040,2024-02-23,15:38:39,2355690,RETIRO,5
ATM062,2024-01-29,14:09:21,3407085,DEPÓSITO,1
ATM009,2023-11-11,02:07:01,1397447,RETIRO,6
ATM013,2023-11-28,11:59:47,318710,RETIRO,2
ATM011,2023-10-21,19:21:57,1451069,DEPÓSITO,6
ATM007,2023-12-15,19:11:13,2583322,RETIRO,5
ATM018,2023-10-16,19:10:35,3333713,DEPÓSITO,1
ATM083,2023-10-25,16:45:56,1405051,DEPÓSITO,3
ATM009,2023-12-30,00:54:29,446613,RETIRO,6
ATM003,2023-10-01,22:29:19,3365380,DEPÓSITO,7
ATM021,2023-10-03,14:42:47,4828497,DEPÓSITO,2
ATM028,2023-11-10,23:57:40,2128593,RETIRO,5
ATM047,2023-11-24,11:33:18,1927616,RETIRO,5
ATM002,2023-12-25,07:52:03,372658,DEPÓSITO,1
ATM055,2024-02-06,03:04:40,3762155,DEPÓSITO,2
ATM096,2024-02-12,18:32:43,1288646,RETIRO,1
ATM007,2024-01-09,16:18:32,4058420,DEPÓSITO,2
ATM057,2023-11-07,02:47:36,2649419,RETIRO,2
ATM092,2023-10-18,01:43:33,939461,DEPÓSITO,3
ATM017,2024-01-23,21:09:53,2779035,RETIRO,2
ATM035,2023-11-18,07:24:49,3772540,DEPÓSITO,6
ATM059,2023-10-04,07:40:28,1626982,DEPÓSITO,3
ATM004,2024-02-09,10:06:46,1600896,DEPÓSITO,5
ATM070,2024-01-28,16:02:41,1527884,RETIRO,7
ATM008,2023-10-08,16:53:45,4629183,DEPÓSITO,7
ATM020,2024-01-25,12:11:17,1819792,RETIRO,4
ATM028,2023-11-23,01:37:21,2776837,DEPÓSITO,4
ATM071,2024-01-01,06:40:58,980773,RETIRO,1
ATM050,2024-02-11,23:11:47,127442,RETIRO,7
ATM011,2023-11-25,01:09:39,978348,RETIRO,6
ATM013,2024-02-29,05:57:04,3329385,DEPÓSITO,4
ATM040,2023-09-22,23:37:31,4412724,DEPÓSITO,5
ATM091,2023-10-31,00:17:28,613481,DEPÓSITO,2
ATM001,2023-12-14,09:42:27,403398,RETIRO,4
ATM066,2024-02-26,12:27:56,1105714,RETIRO,1
ATM014,2024-02-13,03:12:45,2935161,RETIRO,2
ATM041,2023-11-14,18:47:08,979226,RETIRO,2
ATM063,2023-09-01,22:26:35,997069,RETIRO,5
ATM028,2023-12-26,19:20:24,260956,DEPÓSITO,2
ATM036,2023-11-12,07:18:08,1208307,DEPÓSITO,7
ATM027,2023-10-10,08:17:38,1214230,RETIRO,2
ATM067,2023-12-24,11:47:59,3387676,DEPÓSITO,7
ATM087,2023-10-01,08:26:58,1760581,RETIRO,7
ATM027,2023-11-07,16:55:03,710775,DEPÓSITO,2
ATM040,2023-12-28,05:30:50,2734237,RETIRO,4
ATM091,2023-10-27,02:40:59,2748808,RETIRO,5
ATM051,2023-12-20,15:48:10,2877314,RETIRO,3
ATM025,2024-01-01,08:38:30,3500988,DEPÓSITO,1
ATM003,2023-11-28,06:44:35,558458,DEPÓSITO,2
ATM059,2024-01-15,14:10:34,3031582,DEPÓSITO,1
ATM098,2023-09-07,11:52:39,1899364,DEPÓSITO,4
ATM036,2023-12-27,16:32:32,1173721,RETIRO,3
ATM095,2023-12-02,02:16:45,487736,RETIRO,6
ATM083,2023-09-18,13:40:58,1199072,RETIRO,1
ATM042,2023-11-18,06:46:24,3282043,DEPÓSITO,6
ATM091,2023-09-12,04:29:50,2935663,RETIRO,2
ATM049,2024-01-02,13:54:56,71312,RETIRO,2
ATM090,2024-02-07,10:39:56,1088923,DEPÓSITO,3
ATM079,2024-01-04,02:28:11,100051,RETIRO,4
ATM035,2023-10-27,07:13:11,1595879,RETIRO,5
ATM017,2024-01-24,18:58:33,2775492,DEPÓSITO,3
ATM033,2023-11-07,08:16:24,1407923,RETIRO,2
ATM037,2024-01-21,19:59:45,2275888,DEPÓSITO,7
ATM051,2024-01-07,23:28:27,4566930,DEPÓSITO,7
ATM100,2023-09-04,06:06:16,521258,DEPÓSITO,1
ATM006,2023-10-12,12:49:28,2386815,RETIRO,4
ATM033,2024-02-22,12:35:27,1862405,RETIRO,4
ATM067,2023-11-25,10:24:52,2674774,DEPÓSITO,6
ATM038,2023-09-20,18:59:17,738734,DEPÓSITO,3
ATM059,2023-12-12,19:31:08,86471,RETIRO,2
ATM040,2024-02-09,08:43:17,1373362,RETIRO,5
ATM094,2024-02-05,15:09:10,1422372,RETIRO,1
ATM002,2023-10-24,15:04:57,1323349,DEPÓSITO,2
ATM033,2023-12-06,02:35:36,765659,DEPÓSITO,3
ATM067,2023-12-26,23:05:43,728213,RETIRO,2
ATM021,2024-02-17,14:48:35,534253,DEPÓSITO,6
ATM057,2023-09-17,02:51:11,2967861,DEPÓSITO,7
ATM072,2023-12-19,22:23:21,3925057,DEPÓSITO,2
ATM031,2024-02-29,09:25:40,733722,RETIRO,4
ATM072,2023-12-18,10:59:54,2107157,DEPÓSITO,1
ATM012,2023-10-10,07:03:29,971769,DEPÓSITO,2
ATM034,2024-02-01,16:41:58,188700,DEPÓSITO,4
ATM083,2024-02-02,01:00:21,387192,RETIRO,5
ATM060,2023-12-08,19:38:38,3378930,DEPÓSITO,5
ATM086,2023-09-01,12:13:34,1724907,RETIRO,5
ATM023,2023-10-14,22:29:00,1075232,RETIRO,6
ATM080,2024-02-12,05:33:54,2830886,DEPÓSITO,1
ATM080,2024-02-12,20:02:16,2124001,RETIRO,1
ATM066,2023-09-25,22:41:01,1115477,RETIRO,1
